id,name,age,email,salary,is_active,start_date,last_login,rating,tags
15,Andrea,29,stephensshawn@lambert-gonzalez.info,37241.11,True,2020-04-03,2023-10-11 00:56:01,1.1,"['data', 'react']"
16,Kyle,34,craigwhite@murphy.biz,117927.82,True,2023-12-14,2023-12-26 16:20:42,4.9,"['spark', 'cloud']"
17,Mark,43,robert40@hall-smith.net,33490.84,True,2024-07-04,2024-06-28 11:06:18,2.4,"['cloud', 'python']"
18,Christy,36,david76@gmail.com,76796.99,True,2020-01-31,2023-11-21 19:29:33,4.4,"['data', 'spark']"
19,Brenda,54,clarkpamela@flores-evans.org,49400.85,True,2023-03-30,2024-01-08 11:09:38,3.3,"['ml', 'java']"
20,Lori,27,robinsonjohn@wood.org,48298.92,False,2021-05-06,2024-06-06 02:47:36,3.9,"['react', 'python']"
21,Bradley,39,mullinsalexander@barnes.com,34218.71,False,2020-06-19,2023-04-15 10:01:39,3.8,"['sql', 'data']"
22,Tina,52,samueltaylor@howard.com,39837.51,True,2023-02-11,2023-09-22 08:43:01,1.3,"['java', 'react']"
23,Brittany,49,david75@cannon.org,65002.88,True,2021-07-03,2024-08-09 04:20:58,4.0,"['cloud', 'ml']"
24,Gregory,34,erik69@gmail.com,67978.13,True,2021-01-14,2023-06-24 22:15:55,2.0,"['spark', 'sql']"
25,Andrew,26,lindseywatson@gmail.com,116514.36,False,2020-10-10,2024-03-20 06:32:41,3.4,"['java', 'python']"
26,William,38,brittany85@yahoo.com,49030.17,True,2021-08-28,2023-08-04 17:13:50,2.2,"['cloud', 'react']"
27,Susan,60,shannon11@harrison.org,95679.82,True,2024-01-24,2024-02-17 14:20:12,1.0,"['data', 'sql']"
28,Ronald,41,barbara94@cortez.biz,48599.31,True,2022-10-04,2023-11-08 18:42:28,3.0,"['spark', 'cloud']"
29,Samantha,22,joseph31@yahoo.com,117469.79,False,2023-04-09,2023-10-21 09:36:35,4.2,"['react', 'ml']"
30,David,31,barneshannah@gmail.com,35789.14,True,2022-02-19,2024-01-26 23:58:02,2.9,"['data', 'cloud']"
31,Nancy,40,johnstonheather@hotmail.com,34539.38,True,2023-01-10,2024-04-28 20:39:27,1.4,"['ml', 'sql']"
32,Stephen,55,morganrobin@mathis-davis.com,90539.65,True,2020-02-05,2023-11-02 22:13:34,3.1,"['spark', 'java']"
33,Tammy,42,codygonzalez@yahoo.com,93755.16,False,2022-03-02,2023-09-03 13:27:19,2.6,"['python', 'sql']"
34,Jacqueline,48,steven69@yahoo.com,54108.04,True,2021-12-29,2023-11-13 01:14:44,2.3,"['cloud', 'react']"
35,Tracy,35,joshua28@gmail.com,37465.94,True,2022-10-14,2023-12-18 02:34:36,3.5,"['java', 'ml']"
36,Joshua,29,wrightaaron@knight.biz,111483.9,True,2021-01-19,2023-10-04 04:46:40,1.8,"['cloud', 'spark']"
37,Sarah,26,stevenshannon@gmail.com,62688.6,False,2020-12-01,2024-01-14 14:17:57,4.6,"['data', 'python']"
38,Elizabeth,43,stephanie47@garner-arnold.com,115297.86,False,2024-05-22,2023-06-19 17:09:17,3.0,"['ml', 'sql']"
39,Linda,47,nichole68@gmail.com,109938.02,True,2022-08-30,2023-09-12 11:53:02,2.7,"['spark', 'cloud']"
40,Daniel,33,johnsonkristen@yahoo.com,80163.91,True,2023-11-20,2024-06-13 09:42:27,1.7,"['data', 'react']"
41,Melanie,53,michaellong@yahoo.com,71614.12,True,2024-02-06,2023-07-20 08:24:17,3.1,"['sql', 'java']"
42,Timothy,39,anthonyrichardson@hotmail.com,104877.84,False,2022-04-28,2024-03-30 14:52:44,4.8,"['python', 'cloud']"
43,Tyler,24,michaelgibbs@hotmail.com,71451.34,False,2023-06-04,2023-09-10 11:10:41,3.4,"['ml', 'data']"
44,Heather,44,duncandebra@crawford.net,119540.91,True,2021-06-16,2024-04-23 21:06:29,2.6,"['sql', 'spark']"
45,Shawn,37,calebgomez@parks.biz,41292.96,False,2024-03-18,2023-10-10 05:42:59,1.9,"['react', 'java']"
46,Joshua,49,kellyhill@hernandez.net,49769.88,True,2023-05-27,2023-12-02 10:03:16,4.0,"['cloud', 'ml']"
47,Jacqueline,55,lindseyhill@jenkins-hamilton.com,118901.38,False,2021-09-11,2023-08-15 06:35:50,2.3,"['python', 'sql']"
48,Melissa,30,williamsangela@taylor.biz,86132.13,False,2022-06-07,2024-05-05 20:18:11,2.8,"['data', 'spark']"
49,Karen,35,brendadominguez@hotmail.com,105317.48,True,2022-01-03,2023-07-08 18:04:28,4.2,"['java', 'cloud']"
50,Nathan,28,matthew32@gmail.com,114711.62,True,2020-08-10,2023-10-13 16:27:49,3.6,"['ml', 'data']"
51,James,59,jasonalexander@yahoo.com,57737.27,True,2023-01-27,2024-03-09 11:43:34,3.9,"['sql', 'cloud']"
52,Amy,23,nicholasfleming@baker.org,116947.91,True,2023-03-17,2023-11-06 02:52:08,2.1,"['python', 'react']"
53,George,41,gregory85@gmail.com,34074.86,True,2020-07-11,2023-12-16 20:21:01,4.1,"['spark', 'java']"
54,Stephanie,48,vanessa75@davis.com,71862.94,True,2021-03-01,2023-09-07 13:47:06,1.0,"['cloud', 'data']"
55,Raymond,50,robertsoncatherine@silva.biz,65526.0,True,2021-05-12,2024-05-27 17:49:20,4.7,"['ml', 'react']"
56,Donald,39,petersmith@hotmail.com,106257.73,False,2023-05-15,2023-08-25 05:03:37,2.0,"['python', 'cloud']"
57,Donna,33,danieljohnson@young.biz,101356.24,True,2023-04-22,2023-12-27 06:39:31,2.9,"['sql', 'data']"
58,Kimberly,36,kathryn43@bennett.com,57544.31,False,2020-03-15,2023-06-13 12:00:00,1.6,"['ml', 'java']"
59,Jason,42,cookshawn@hess.com,86188.25,False,2021-07-30,2024-02-02 23:16:21,4.3,"['spark', 'cloud']"
60,Karen,31,jacksonkatie@gmail.com,44894.69,True,2022-11-25,2023-08-02 00:44:14,2.5,"['data', 'sql']"
